,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
191,11110,M,70대이상,의류/잡화,12,12
192,11110,M,70대이상,자동차,11,10
193,11110,M,70대이상,전자상거래,8,7
194,11110,M,70대이상,주유,4,5
195,11140,F,10대,가전/가구,12,12
196,11140,F,10대,가정생활/서비스,8,6
197,11140,F,10대,교육/학원,10,10
198,11140,F,10대,미용,6,9
199,11140,F,10대,스포츠/문화/레저,4,5
200,11140,F,10대,여행/교통,11,8
201,11140,F,10대,요식/유흥,2,1
202,11140,F,10대,유통,1,2
203,11140,F,10대,음/식료품,7,11
204,11140,F,10대,의료,9,7
205,11140,F,10대,의류/잡화,5,4
206,11140,F,10대,자동차,14,14
207,11140,F,10대,전자상거래,3,3
208,11140,F,10대,주유,13,13
209,11140,F,20대,가전/가구,12,10
210,11140,F,20대,가정생활/서비스,7,5
211,11140,F,20대,교육/학원,11,13
212,11140,F,20대,미용,10,9
213,11140,F,20대,스포츠/문화/레저,5,7
214,11140,F,20대,여행/교통,6,6
215,11140,F,20대,요식/유흥,1,1
216,11140,F,20대,유통,2,3
217,11140,F,20대,음/식료품,9,12
218,11140,F,20대,의료,4,4
219,11140,F,20대,의류/잡화,8,8
220,11140,F,20대,자동차,14,11
221,11140,F,20대,전자상거래,3,2
222,11140,F,20대,주유,13,14
223,11140,F,30대,가전/가구,14,10
224,11140,F,30대,가정생활/서비스,5,5
225,11140,F,30대,교육/학원,12,8
226,11140,F,30대,미용,9,11
227,11140,F,30대,스포츠/문화/레저,8,7
228,11140,F,30대,여행/교통,6,6
229,11140,F,30대,요식/유흥,1,3
230,11140,F,30대,유통,2,2
231,11140,F,30대,음/식료품,7,12
232,11140,F,30대,의료,4,4
233,11140,F,30대,의류/잡화,10,9
234,11140,F,30대,자동차,13,14
235,11140,F,30대,전자상거래,3,1
236,11140,F,30대,주유,11,13
237,11140,F,40대,가전/가구,14,8
238,11140,F,40대,가정생활/서비스,5,5
239,11140,F,40대,교육/학원,12,9
240,11140,F,40대,미용,9,10
241,11140,F,40대,스포츠/문화/레저,7,7
242,11140,F,40대,여행/교통,8,6
243,11140,F,40대,요식/유흥,2,3
244,11140,F,40대,유통,1,1
245,11140,F,40대,음/식료품,6,12
246,11140,F,40대,의료,4,4
247,11140,F,40대,의류/잡화,11,11
248,11140,F,40대,자동차,13,14
249,11140,F,40대,전자상거래,3,2
250,11140,F,40대,주유,10,13
251,11140,F,50대,가전/가구,12,7
252,11140,F,50대,가정생활/서비스,5,5
253,11140,F,50대,교육/학원,14,13
254,11140,F,50대,미용,9,11
255,11140,F,50대,스포츠/문화/레저,7,10
256,11140,F,50대,여행/교통,10,6
257,11140,F,50대,요식/유흥,2,3
258,11140,F,50대,유통,1,1
259,11140,F,50대,음/식료품,6,8
260,11140,F,50대,의료,3,4
261,11140,F,50대,의류/잡화,11,9
262,11140,F,50대,자동차,13,14
263,11140,F,50대,전자상거래,4,2
264,11140,F,50대,주유,8,12
265,11140,F,60대,가전/가구,12,11
266,11140,F,60대,가정생활/서비스,6,5
267,11140,F,60대,교육/학원,14,14
268,11140,F,60대,미용,7,10
269,11140,F,60대,스포츠/문화/레저,9,9
270,11140,F,60대,여행/교통,8,7
271,11140,F,60대,요식/유흥,2,4
272,11140,F,60대,유통,1,1
273,11140,F,60대,음/식료품,4,6
274,11140,F,60대,의료,3,2
275,11140,F,60대,의류/잡화,11,8
276,11140,F,60대,자동차,13,13
277,11140,F,60대,전자상거래,5,3
278,11140,F,60대,주유,10,12
279,11140,F,70대이상,가전/가구,12,12
280,11140,F,70대이상,가정생활/서비스,5,5
281,11140,F,70대이상,교육/학원,13,13
282,11140,F,70대이상,미용,7,8
283,11140,F,70대이상,스포츠/문화/레저,9,11
284,11140,F,70대이상,여행/교통,11,9
285,11140,F,70대이상,요식/유흥,2,3
286,11140,F,70대이상,유통,1,1
287,11140,F,70대이상,음/식료품,4,6
288,11140,F,70대이상,의료,3,2
289,11140,F,70대이상,의류/잡화,10,7
290,11140,F,70대이상,자동차,14,14
291,11140,F,70대이상,전자상거래,6,4
292,11140,F,70대이상,주유,8,10
293,11140,M,10대,가전/가구,12,12
294,11140,M,10대,가정생활/서비스,5,7
295,11140,M,10대,교육/학원,11,11
296,11140,M,10대,미용,8,9
297,11140,M,10대,스포츠/문화/레저,3,4
298,11140,M,10대,여행/교통,9,5
299,11140,M,10대,요식/유흥,2,1
300,11140,M,10대,유통,1,2
301,11140,M,10대,음/식료품,6,10
302,11140,M,10대,의료,7,6
303,11140,M,10대,의류/잡화,10,8
